kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
thanhyvo,2,2024,7,2024,18,32,17,32,True,False,9,19,36,7,239,340,0,0.0,1,1,0.0555555555555555,6,15,0.8333333333333334,21,2,0.1111111111111111,4,0,0.0,0,5,0.2777777777777778,10,2,0.1111111111111111,6,1461,2645,755241,4482601,4332,30438,27215,167549,2426,23674,52681900,76083700,0,0.0,0,0,0.0,0,3,0.1666666666666666,1,-15296.0,0.0149807429117021,0.36,,,0.022315037362551
thanhyvo,3,2024,8,2024,18,36,17,36,True,False,8,20,36,7,239,407,0,0.0,1,1,0.0555555555555555,7,16,0.8888888888888888,25,1,0.0555555555555555,3,0,0.0,0,4,0.2222222222222222,13,2,0.1111111111111111,7,1478,2730,781641,4710601,4403,40350,27460,191137,2374,29800,51748300,80915100,0,0.0,0,0,0.0,0,3,0.1666666666666666,1,-19097.0,0.0157662763800936,0.3333333333333333,,,0.0233661857977863
thanhyvo,4,2024,9,2024,21,32,20,32,True,False,7,18,48,9,289,376,0,0.0,2,1,0.0476190476190476,7,18,0.8571428571428571,19,2,0.0952380952380952,4,0,0.0,0,6,0.2857142857142857,11,2,0.0952380952380952,6,1727,2355,812041,4289900,4581,39243,28747,177833,2193,28132,52941400,73668600,0,0.0,0,0,0.0,0,2,0.0952380952380952,1,-19797.0,0.0160094368490444,0.3962264150943396,,,0.0229475554669855
thanhyvo,5,2024,10,2024,21,31,19,31,True,False,5,12,46,12,291,343,0,0.0,1,1,0.0476190476190476,6,17,0.8095238095238095,19,3,0.1428571428571428,5,0,0.0,0,6,0.2857142857142857,9,2,0.0952380952380952,4,1803,2271,827341,2102500,4476,18990,29559,84819,2030,16006,51469000,40438400,0,0.0,0,0,0.0,0,2,0.0952380952380952,2,-24381.0,0.0167752627795371,0.4038461538461538,,,0.0201839130434782
thanhyvo,6,2024,11,2024,16,28,15,28,True,False,2,13,42,16,213,310,0,0.0,1,1,0.0625,4,12,0.75,16,3,0.1875,7,0,0.0,0,4,0.25,7,1,0.0625,4,1352,1888,476041,2034700,2830,19541,18371,80074,1910,15959,19140100,42616200,0,0.0,0,0,0.0,0,0,0.0,0,-29882.0,0.0260788606120135,0.3636363636363636,,,0.0266050299782458
thanhyvo,7,2024,12,2024,13,30,13,30,True,False,0,15,39,18,172,332,0,0.0,1,1,0.0769230769230769,6,9,0.6923076923076923,18,3,0.2307692307692307,5,0,0.0,0,5,0.3846153846153846,8,1,0.0769230769230769,4,1158,2260,400200,1977700,2504,20804,15373,76180,1906,14967,17435700,42779200,0,0.0,0,0,0.0,0,0,0.0,1,-34873.0,0.0240875330500065,0.3023255813953488,,,0.0320990025170131
thanhyvo,8,2024,1,2025,13,32,13,32,True,False,0,14,39,21,172,360,0,0.0,1,1,0.0769230769230769,5,9,0.6923076923076923,18,3,0.2307692307692307,8,0,0.0,0,5,0.3846153846153846,8,1,0.0769230769230769,6,1158,2229,400200,1980100,2504,21010,15373,78294,1906,16386,17435700,43848600,0,0.0,0,0,0.0,0,0,0.0,1,-35387.0,0.0240875330500065,0.2888888888888888,,,0.0349012913193583
vithanhle308,1,2024,6,2024,5,56,5,53,False,False,7,59,11,83,62,811,0,0.0,1,3,0.6,15,0,0.0,24,2,0.4,15,0,0.0,1,0,0.0,20,0,0.0,15,283,2310,39532,2105196,503,42533,5178,312693,145,10550,3179300,35328500,0,0.0,5,0,0.0,0,0,0.0,5,93100.0,0.0142666624728713,0.081967213114754,83.0,86%,0.0306764385461028
vithanhle308,2,2024,7,2024,5,61,5,61,False,False,7,68,11,106,62,1107,0,0.0,1,3,0.6,22,0,0.0,23,2,0.4,14,0,0.0,1,0,0.0,20,0,0.0,11,283,2923,39532,3601835,503,76167,5178,429217,145,19241,3179300,45126400,0,0.0,5,0,0.0,0,0,0.0,4,101916.66666666669,0.0142666624728713,0.0757575757575757,83.0,86%,0.0204565790171703
vithanhle308,3,2024,8,2024,5,60,5,60,False,False,9,72,11,127,94,1207,0,0.0,1,3,0.6,24,0,0.0,24,2,0.4,10,0,0.0,1,0,0.0,18,1,0.2,10,284,3075,34679,3510956,416,81143,3416,444931,130,19815,2964200,43245700,0,0.0,6,0,0.0,0,1,0.2,4,110333.33333333334,0.0130358950138317,0.0769230769230769,83.0,86%,0.017405572129241
